Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Credit Risk Rating,Primary Industry Classification,Assigned Rating/ECGD Status,Loss Given Default
ABANCA CORPORACION BANCARIA S.A.,00324248,0014K00000XNSoCQAX,BANK,Good,N/A,BANK,CORPORATE,0
ACROW GLOBAL LIMITED,00319456,0010X0000538pt8QAA,COMPANY,Good,N/A,BRIDGES,CORPORATE,0
AF CONSTRUCTION LLC,00317770,0010X00004YwWFXQA3,COMPANY,Good,N/A,COMMERICAL,CORPORATE,0
AL YAH SATELLITE COMMS COMPANY,00322585,0014K00000QtX7jQAF,COMPANY,Good,A-,CREATIVE & MEDIA,CORPORATE,50
AMPCONTROL UK LIMITED,00308009,001b000000kTxNfAAK,COMPANY,Good,N/A,MINING & METALS : MISCELLANEOUS,CORPORATE,0
AQUA AFRICA LIMITED,00305194,001b000000phuy1AAA,COMPANY,Good,N/A,CIVIL: WATER MISCELLANEOUS,CORPORATE,0
ATLAS AIR INC,00314228,0010X00004Eqe0CQAR,COMPANY,Good,BB-,CIVIL: AERO MISCELLANEOUS,CORPORATE,0
ATLAS AIR WORLDWIDE HOLDINGS,00300018,0010X000051xAfqQAE,COMPANY,Good,BB-,AERO ENGINES,CORPORATE,0
ATLAS COVERTING EQUIPMENT LTD,00303506,001b000000f7IhpAAE,COMPANY,Good,N/A,PROCESS PLANT EQUIPMENT,CORPORATE,0
AVERY BERKEL LIMITED,00304094,001b000000jvJPZAA2,COMPANY,Good,NOT KNOWN,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CORPORATE,0
AVIVA LIFE & PENSIONS UK LIMITED,00311613,0014K00000TJrDrQAL,COMPANY,Good,N/A,FINANCIAL : MISCELLANEOUS,CORPORATE,0
BABCOCK MARINE SHIPBUILDING LIMITED,00326560,0014K00000iy09HQAQ,COMPANY,Good,N/A,"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",CORPORATE,0
BALFOUR BEATTY PLC,00300166,0010X000047f8cEQAQ,COMPANY,Good,NOT KNOWN,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,0
BEROA BIERRUM,00317193,0010X00004PwS7CQAV,COMPANY,Good,N/A,TRANSMISSION,CORPORATE,0
BPI FRANCE ASSURANCE EXPORT S.A.S,00315356,0010X00004EFwNPQA1,COMPANY,Good,N/A,CIVIL: SATELLITES MISCELLANEOUS,CORPORATE,0
BRUSH ELECTRICAL MACHINES LIMITED,00304572,001b000000hp2T3AAI,COMPANY,Good,NOT KNOWN,MINING & METALS : MISCELLANEOUS,CORPORATE,0
C2S MEDIA LTD,00320296,00167000058EXmYAAW,COMPANY,Good,B+,CIVIL: TELECOMMS MISCELLANEOUS,CORPORATE,0
CAMBRIDGE UNIVERSITY PRESS,00300839,001b000000jvWPDAA2,COMPANY,Good,N/A,EDUCATION & TRAINING,CORPORATE,0
CDE GLOBAL LIMITED,00307521,001b000000P5BB9AAN,COMPANY,Good,B+,MINING & METALS : MISCELLANEOUS,CORPORATE,0
CENTRAL PLAINS GROUP LTD,00321068,0016700005CaIN0AAN,COMPANY,Good,CCC,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,61
CITIBANK NA,00320087,00167000055uwXjAAI,BANK,Good,N/A,BANK,CORPORATE,0
COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR (COFACE),00308411,001b000000Hy6nIAAR,COMPANY,Good,A,FINANCIAL : MISCELLANEOUS,CORPORATE,35
COSMOS INTERNATIONAL LTD,00320043,00167000055u4hFAAQ,COMPANY,Good,N/A,HOSPITALS,SOVEREIGN,0
CREDIT AGRICOLE BANK,00321752,0014K00000MMcwRQAT,BANK,Good,N/A,BANK,CORPORATE,0
CREDIT AGRICOLE CORPORATE AND INVES TMENT BANK,00308555,001b000000WpmRyAAJ,BANK,Good,N/A,CIVIL: RENEWABLE ENERGY MISCELLANEOUS,CORPORATE,0
CREDIT SUISSE AG,00300747,001b000003OvJ9cAAF,BANK,Good,N/A,BANK,CORPORATE,0
DAVIS DERBY LIMITED,00313957,001b000000ULQ7bAAH,COMPANY,Good,NOT KNOWN,MINING & METALS : MISCELLANEOUS,CORPORATE,0
DEFENCE EQUIPMENT SALES AUTHORITY,00326361,0014K00000gDObRQAW,COMPANY,Good,N/A,"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",CORPORATE,0
DELCA SYSTEMS LTD,00319755,0010X000054SC7pQAG,COMPANY,Good,N/A,HOSPITALS,SOVEREIGN,0
DEUTSCHE BANK SAEU,00326194,0014K00000fHLALQA4,BANK,Good,N/A,BANK,CORPORATE,0
DIVERSEY LIMITED,00311760,0010X0000536FnNQAU,COMPANY,Good,NOT KNOWN,DEFENCE: CATEGORY A MISCELLANEOUS,CORPORATE,0
DOF INSTALLER ASA,00326668,0014K00000k6GbUQAU,COMPANY,Good,D,EQUIPMENT INC SPARES,CORPORATE,0
DOF SUBSEA AS,00326664,0014K00000k6G67QAE,COMPANY,Watch,D,CIVIL: MISCELLANEOUS,CORPORATE,50
DOGUS CELIKLER OZKAR IS ORTAKLIGI TICARI ISLETMESI,00327742,0014K00000nJqbxQAC,COMPANY,Good,N/A,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,0
DOGUS INSAAT VE TICARET A.S,00326292,0014K00000bOoRKQA0,COMPANY,Good,N/A,BRIDGES,CORPORATE,0
DUBAI HOLDING COMMERCIAL OPERATIONS GROUP LLC,00317208,0010X00004PwsgRQAR,COMPANY,Good,BBB-,CIVIL: MISCELLANEOUS,CORPORATE,50
DUNLOP OIL & MARINE LIMITED,00312741,001b000000j9XAfAAM,COMPANY,Good,NOT KNOWN,ENERGY (OIL) : MISCELLANEOUS,CORPORATE,0
EDBRO PLC.,00301853,001b000000jvWThAAM,COMPANY,Good,NOT KNOWN,CIVIL: MISCELLANEOUS,CORPORATE,0
EUROPA CROWN LIMITED,00311412,001b000000TA4kZAAT,COMPANY,Good,NOT KNOWN,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CORPORATE,0
EUROPEAN SAO LIMITED,00327021,0014K00000mMz0cQAC,COMPANY,Good,B,AIRCRAFTS AND PARTS,CORPORATE,0
FIVES LANDIS LIMITED,00310184,001b000003MDvXIAA1,COMPANY,Good,N/A,CIVIL: MISCELLANEOUS,CORPORATE,0
FOSTER + PARTNERS LIMITED,00306962,001b000000aji4uAAA,COMPANY,Good,N/A,FINANCIAL AND PROFESSIONAL SERVICES,CORPORATE,0
FOSUN INTERNATIONAL LIMITED,00322555,0014K00000QslRjQAJ,COMPANY,Good,B+,LEISURE & TOURISM,CORPORATE,60
"FRANCE, MINISTRY OF ECONOMY AND FIN",00322407,0014K00000Pd3buQAB,COMPANY,Good,N/A,"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",SOVEREIGN,0
GEMLIK GUBRE SANAYI A.S,00320168,00167000056jEd1AAE,COMPANY,Good,B-,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,0
GENERAL SYSTEMS DESIGN UK LTD,00304438,001b000003ThJJgAAN,COMPANY,Good,N/A,EQUIPMENT INC SPARES,CORPORATE,0
GLOBAL ATTRACTIONS LTD,00319442,0010X00005365PfQAI,COMPANY,Good,N/A,LEISURE & TOURISM,CORPORATE,0
HAVANA INTERNATIONAL BANK LTD,00300735,001b000000RvOfHAAV,BANK,Good,NOT KNOWN,BANK,CORPORATE,0
HOLDTRADE MINING LIMITED,00306377,0010X0000536FmjQAE,COMPANY,Good,NOT KNOWN,MINING & METALS : MISCELLANEOUS,CORPORATE,0
HR WALLINGFORD LIMITED,00313703,001b000000jvWZKAA2,COMPANY,Good,N/A,CIVIL: WATER MISCELLANEOUS,CORPORATE,0
HSBC,00323351,0014K00000TKZIXQA5,BANK,Good,BB,BANK,CORPORATE,0
INDUSTRIAL TURBINE COMPANY (UK) LTD,00305412,001b000002JUWUXAA5,COMPANY,Good,N/A,EQUIPMENT INC SPARES,CORPORATE,0
INLAKS (UK) LIMITED,00300114,0010X000054TZ8qQAG,COMPANY,Good,NOT KNOWN,DEFENCE: CATEGORY A MISCELLANEOUS,CORPORATE,0
INTERPOWER INDUCTION LTD,00309549,001b000000dwvBtAAI,COMPANY,Good,B+,CIVIL: POWER MISCELLANEOUS,CORPORATE,0
INTERSERVE RAIL LIMITED,00302231,0010X000054TZ6CQAW,COMPANY,Good,NOT KNOWN,CIVIL: POWER MISCELLANEOUS,CORPORATE,0
INTESA SANPAOLO S.P.A DUBAI BRANCH,00325421,0014K00000cVSC2QAO,COMPANY,Good,N/A,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,0
ISHIDA EUROPE LIMITED,00308927,001b000000akfnfAAA,COMPANY,Good,BB+,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,0
JGC CORPORATION UK LIMITED,00306557,0014K00000a7IAmQAM,COMPANY,Good,N/A,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,0
JMC RECYCLING SYSTEMS LIMITED,00310719,001b000000ahrAJAAY,COMPANY,Good,N/A,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CORPORATE,0
JOY GLOBAL INDUSTRIES LIMITED,00304549,0010X00004aVPjoQAG,COMPANY,Good,NOT KNOWN,CIVIL: MISCELLANEOUS,CORPORATE,0
JP MORGAN CHASE BANK N.A.,00327396,0014K00000npltkQAA,BANK,Good,N/A,BANK,CORPORATE,0
JP MORGAN CHASE BANK N.A. TOKYO BRANCH,00327402,0014K00000nplsrQAA,BANK,Good,N/A,BANK,CORPORATE,0
JUST RETIREMENT LIMITED,00320961,0016700005Bs3jPAAR,COMPANY,Good,N/A,CIVIL: TRANSPORT MISCELLANOUS,CORPORATE,0
KEB HANA BANK,00329089,001Tm000007teAVIAY,BANK,Good,N/A,BANK,CORPORATE,0
KOMMUNALKREDIT AUSTRIA AG,00324835,0014K00000aQ4FOQA0,BANK,Good,N/A,BANK,CORPORATE,0
KOREA AEROSPACE INDUSTRIES LTD,00319140,0010X00004y8gayQAA,COMPANY,Good,N/A,AIRCRAFTS AND PARTS,CORPORATE,0
KUWAIT PETROLEUM CORPORATION AND SUBSIDIARIES (KPC),00307709,001b000002Xcb9CAAR,COMPANY,Good,A+,CIVIL: PETROCHEMICALSMISCELLANEOUS,CORPORATE,35
LBBW,00315441,0010X00004EqzOfQAJ,BANK,Good,N/A,PROCESS PLANT EQUIPMENT,CORPORATE,0
LEARJET INC,00319544,0010X0000538q3EQAQ,COMPANY,Good,B+,AIRBUS,CORPORATE,0
LLC CENTRAL PLAINS GROUP,00322053,0014K00000NF3ypQAD,COMPANY,Watch,CCC,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,0
LLC STRONG ENERGY ZAKHID,00323362,0014K00000TLFzkQAH,COMPANY,Watch,CC,"AGRICULTURE, HORTICULTURE & FISHERIES",CORPORATE,61
LLOYDS SYNDICATE 0318 CINCINNATI GLOBAL UNDERWRITING AGENCY LTD,00327049,0014K00000eK7xHQAS,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,35
LLOYDS SYNDICATE 2001 MS AMLIN,00315334,0010X00004DhtK3QAJ,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,50
LLOYDS SYNDICATE 3010 LANCASHIRE SYNDICATES LTD,00327041,0014K00000eK8g3QAC,COMPANY,Good,AA-,FINANCIAL : MISCELLANEOUS,CORPORATE,35
