Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,UK Entity?,SME,Officer Risk Rating,Primary Industry Classification,Country,Rating Entity,Assigned Rating/ECGD Status,Loss Given Default
ABANCA CORPORACION BANCARIA S.A.,00324248,0014K00000XNSoCQAX,900,0,CITIZENCLASS#2,20,99,Citizenship Class,ESP,150,03,0
ACROW GLOBAL LIMITED,00319456,0010X0000538pt8QAA,100,0,CITIZENCLASS#2,20,99,Citizenship Class,GBR,150,03,0
AF CONSTRUCTION LLC,00317770,0010X00004YwWFXQA3,100,0,CITIZENCLASS#2,20,99,Citizenship Class,ARE,150,03,0
AL YAH SATELLITE COMMS COMPANY,00322585,0014K00000QtX7jQAF,100,0,CITIZENCLASS#3,70,07,Citizenship Class,GBR,150,03,50
AMPCONTROL UK LIMITED,00308009,001b000000kTxNfAAK,100,0,CITIZENCLASS#1,50,99,Citizenship Class,GBR,150,03,0
AQUA AFRICA LIMITED,00305194,001b000000phuy1AAA,100,0,CITIZENCLASS#1,70,99,Citizenship Class,GBR,150,03,0
ATLAS AIR INC,00314228,0010X00004Eqe0CQAR,100,0,CITIZENCLASS#2,20,13,Citizenship Class,USA,150,03,0
ATLAS AIR WORLDWIDE HOLDINGS,00300018,0010X000051xAfqQAE,100,0,CITIZENCLASS#2,20,13,Citizenship Class,USA,150,03,0
ATLAS COVERTING EQUIPMENT LTD,00303506,001b000000f7IhpAAE,100,0,CITIZENCLASS#1,60,99,Citizenship Class,GBR,150,03,0
AVERY BERKEL LIMITED,00304094,001b000000jvJPZAA2,100,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
AVIVA LIFE & PENSIONS UK LIMITED,00311613,0014K00000TJrDrQAL,100,0,CITIZENCLASS#2,20,99,Citizenship Class,GBR,150,03,0
BABCOCK MARINE SHIPBUILDING LIMITED,00326560,0014K00000iy09HQAQ,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
BALFOUR BEATTY PLC,00300166,0010X000047f8cEQAQ,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
BEROA BIERRUM,00317193,0010X00004PwS7CQAV,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
BPI FRANCE ASSURANCE EXPORT S.A.S,00315356,0010X00004EFwNPQA1,100,0,CITIZENCLASS#2,20,99,Citizenship Class,FRA,150,03,0
BRUSH ELECTRICAL MACHINES LIMITED,00304572,001b000000hp2T3AAI,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
C2S MEDIA LTD,00320296,00167000058EXmYAAW,100,0,CITIZENCLASS#1,40,14,Citizenship Class,GBR,150,03,0
CAMBRIDGE UNIVERSITY PRESS,00300839,001b000000jvWPDAA2,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
CDE GLOBAL LIMITED,00307521,001b000000P5BB9AAN,100,0,CITIZENCLASS#1,60,14,Citizenship Class,GBR,150,03,0
CENTRAL PLAINS GROUP LTD,00321068,0016700005CaIN0AAN,100,0,CITIZENCLASS#1,50,18,Citizenship Class,GBR,150,03,61
CITIBANK NA,00320087,00167000055uwXjAAI,900,0,CITIZENCLASS#2,20,99,Citizenship Class,JPN,150,03,0
COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR (COFACE),00308411,001b000000Hy6nIAAR,100,0,CITIZENCLASS#2,20,06,Citizenship Class,FRA,150,03,35
COSMOS INTERNATIONAL LTD,00320043,00167000055u4hFAAQ,100,0,CITIZENCLASS#2,20,99,Citizenship Class,IND,150,01,0
CREDIT AGRICOLE BANK,00321752,0014K00000MMcwRQAT,900,0,CITIZENCLASS#2,20,99,Citizenship Class,UKR,150,03,0
CREDIT AGRICOLE CORPORATE AND INVES TMENT BANK,00308555,001b000000WpmRyAAJ,900,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
CREDIT SUISSE AG,00300747,001b000003OvJ9cAAF,900,0,CITIZENCLASS#2,20,99,Citizenship Class,GBR,150,03,0
DAVIS DERBY LIMITED,00313957,001b000000ULQ7bAAH,100,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
DEFENCE EQUIPMENT SALES AUTHORITY,00326361,0014K00000gDObRQAW,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
DELCA SYSTEMS LTD,00319755,0010X000054SC7pQAG,100,0,CITIZENCLASS#2,20,99,Citizenship Class,NIC,150,01,0
DEUTSCHE BANK SAEU,00326194,0014K00000fHLALQA4,900,0,CITIZENCLASS#2,20,99,Citizenship Class,ESP,150,03,0
DIVERSEY LIMITED,00311760,0010X0000536FnNQAU,100,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
DOF INSTALLER ASA,00326668,0014K00000k6GbUQAU,100,0,CITIZENCLASS#2,70,27,Citizenship Class,NOR,150,03,0
DOF SUBSEA AS,00326664,0014K00000k6G67QAE,100,1,CITIZENCLASS#3,30,27,Citizenship Class,NOR,150,03,50
DOGUS CELIKLER OZKAR IS ORTAKLIGI TICARI ISLETMESI,00327742,0014K00000nJqbxQAC,100,0,CITIZENCLASS#2,20,99,Citizenship Class,TUR,150,03,0
DOGUS INSAAT VE TICARET A.S,00326292,0014K00000bOoRKQA0,100,0,CITIZENCLASS#2,30,99,Citizenship Class,TUR,150,03,0
DUBAI HOLDING COMMERCIAL OPERATIONS GROUP LLC,00317208,0010X00004PwsgRQAR,100,0,CITIZENCLASS#2,20,10,Citizenship Class,XDB,150,03,50
DUNLOP OIL & MARINE LIMITED,00312741,001b000000j9XAfAAM,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
EDBRO PLC.,00301853,001b000000jvWThAAM,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
EUROPA CROWN LIMITED,00311412,001b000000TA4kZAAT,100,0,CITIZENCLASS#1,10,98,Citizenship Class,GBR,150,03,0
EUROPEAN SAO LIMITED,00327021,0014K00000mMz0cQAC,100,0,CITIZENCLASS#2,20,15,Citizenship Class,MLT,150,03,0
FIVES LANDIS LIMITED,00310184,001b000003MDvXIAA1,100,0,CITIZENCLASS#1,50,99,Citizenship Class,GBR,150,03,0
FOSTER + PARTNERS LIMITED,00306962,001b000000aji4uAAA,100,0,CITIZENCLASS#1,60,99,Citizenship Class,GBR,150,03,0
FOSUN INTERNATIONAL LIMITED,00322555,0014K00000QslRjQAJ,100,0,CITIZENCLASS#2,20,14,Citizenship Class,HKG,150,03,60
"FRANCE, MINISTRY OF ECONOMY AND FIN",00322407,0014K00000Pd3buQAB,100,0,CITIZENCLASS#2,20,99,Citizenship Class,FRA,150,01,0
GEMLIK GUBRE SANAYI A.S,00320168,00167000056jEd1AAE,100,0,CITIZENCLASS#2,20,16,Citizenship Class,TUR,150,03,0
GENERAL SYSTEMS DESIGN UK LTD,00304438,001b000003ThJJgAAN,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
GLOBAL ATTRACTIONS LTD,00319442,0010X00005365PfQAI,100,0,CITIZENCLASS#1,50,99,Citizenship Class,GBR,150,03,0
HAVANA INTERNATIONAL BANK LTD,00300735,001b000000RvOfHAAV,900,0,CITIZENCLASS#1,10,98,Citizenship Class,GBR,150,03,0
HOLDTRADE MINING LIMITED,00306377,0010X0000536FmjQAE,100,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
HR WALLINGFORD LIMITED,00313703,001b000000jvWZKAA2,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
HSBC,00323351,0014K00000TKZIXQA5,900,0,CITIZENCLASS#2,20,12,Citizenship Class,GBR,150,03,0
INDUSTRIAL TURBINE COMPANY (UK) LTD,00305412,001b000002JUWUXAA5,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
INLAKS (UK) LIMITED,00300114,0010X000054TZ8qQAG,100,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
INTERPOWER INDUCTION LTD,00309549,001b000000dwvBtAAI,100,0,CITIZENCLASS#1,50,14,Citizenship Class,GBR,150,03,0
