customer_name,customer_party_unique_reference_number,customer_code,ods_key,customer_facility_types,customer_facility_party_role_types
A C PLC,00324062,00288584,00288584,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
A. & W. SMITH & COMPANY LIMITED,00308938,00004427,00004427,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A. JOHNSON & CO. LIMITED,00310308,00000907,00000907,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A. KELLER & SONS (HOLDINGS) LIMITED,00300269,00003344,00003344,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A. RONAI (EASTERN) LIMITED,00302554,00003347,00003347,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A.B.KNIGHT & CO. LIMITED,00302260,00002851,00002851,PARIS CLUB CI TRANCHE,PARIS CLUB PAYEE
A.B.KNIGHT (LONDON) LIMITED,00301430,00002987,00002987,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A.E.L.REALISATIONS LIMITED,00304127,00002973,00002973,PARIS CLUB CI TRANCHE,PARIS CLUB PAYEE
A.J.T. EQUIPMENT LIMITED,00327523,00293658,00293658,"BOND SUPPORT
BOND SUPPORT","FACILITY CUSTOMER
Ultimate Obligor"
A.P.E.-LEE HOWL LIMITED,00304143,00003348,00003348,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
A1 APPARELS LTD,00328495,00294686,00294686,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
A2V TRADE LIMITED,00326756,00294632,00294632,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
AAH PHARMACEUTICALS LIMITED,00301624,00003350,00003350,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AAH TWENTY LIMITED,00301565,00003351,00003351,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AAQUARIES GLOBAL INDUSTRIES LTD,00322058,00289985,00289985,"SUPPLIER CREDIT FINANCE GUARANTEE
SUPPLIER CREDIT FINANCE GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
AARDVARK CLEAR MINE LIMITED,00325685,00291202,00291202,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
AARQUE SYSTEMS LIMITED,00300489,00003352,00003352,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AB PHAROS MARINE LTD,00302194,00003973,00003973,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
ABANCA CORPORACION BANCARIA S.A.,00324248,00288957,00288957,ASSET BASED GUARANTEE,SYNDICATE LENDER
ABC INTERNATIONAL BANK PLC,00313709,00003761,00003761,"BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
PARIS CLUB FD TRANCHE
SUPPLIER CREDIT FINANCE GUARANTEE","SOLE LENDER
SYNDICATE LENDER
PARIS CLUB PAYEE
LEAD/AGENT BANK"
ABMTM LIMITED,00301114,00000431,00000431,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ABN AMRO,NULL,00210516,00210516,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","LEAD/AGENT BANK
SYNDICATE LENDER"
ACC UK GROUP LIMITED,00320109,00289556,00289556,"BUYER CREDIT GUARANTEE
DL LOAN (ENHANCED)","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR"
ACEON BATTERY SOLAR TECHNOLOGY LTD,00305456,00291308,00291308,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
ACES,NULL,00003765,00003765,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
ACLAND LIMITED,00312588,00003356,00003356,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ACORN MEDICAL LIMITED,00308027,00003099,00003099,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ACROW GLOBAL LIMITED,00319456,00287124,00287124,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
ACTIVE FOOD SYSTEMS LIMITED,00323962,00291634,00291634,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
ADANA BUYUKSEHIR BELEDIYESI BASKANLIK (ADANA CITY),NULL,00003787,00003787,LINE OF CREDIT GUARANTEE,FACILITY CUSTOMER
