customer_name,customer_party_unique_reference_number,customer_code,ods_key,customer_facility_types,customer_facility_party_role_types
AB PHAROS MARINE LTD,00302194,00003973,00003973,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
AHLI UNITED BANK (UK) PLC,00301432,00000599,00000599,"BUYER CREDIT GUARANTEE
LINE OF CREDIT GUARANTEE","SYNDICATE LENDER
SYNDICATE LENDER"
AIRBUS DEFENCE AND SPACE LIMITED,00311273,00004300,00004300,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
AL YAH SATELLITE COMMS COMPANY,00322585,00291429,00291429,BUYER CREDIT GUARANTEE,Ultimate Obligor
ALLEN POWER ENGINEERING LIMITED,00307029,00004215,00004215,"BUYER CREDIT GUARANTEE
PARIS CLUB FD TRANCHE
PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AMEC FOSTER WHEELER ENERGY LIMITED,00303748,00003983,00003983,"BUYER CREDIT GUARANTEE
LINE OF CREDIT GUARANTEE
PROJECT FINANCING GUARANTEE","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR"
AMPCONTROL UK LIMITED,00308009,00003024,00003024,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
APPLE BANK FOR SAVINGS (USA),00318784,00223404,00223404,"ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE
SUPPLIER CREDIT FINANCE GUARANTEE
BUYER CREDIT GUARANTEE
ASSET BASED GUARANTEE
SUPPLIER CREDIT FINANCE GUARANTEE
ASSET BASED GUARANTEE","LEAD/AGENT BANK
LEAD/AGENT BANK
LEAD/AGENT BANK
SYNDICATE LENDER
SOLE LENDER
SYNDICATE LENDER
SYNDICATE LENDER"
APV UK PLC,00303334,00004058,00004058,"PARIS CLUB CI TRANCHE
BUYER CREDIT GUARANTEE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
EXPORTER/OII INVESTOR
PARIS CLUB PAYEE"
ARAB AFRICAN INTERNATIONAL BANK,00306917,00000519,00000519,BUYER CREDIT GUARANTEE,SYNDICATE LENDER
ARAB BANK PLC,00300738,00000522,00000522,"ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE","SYNDICATE LENDER
SYNDICATE LENDER"
ASG ASSET MANAGEMENT UAB,00318809,00286144,00286144,"BUYER CREDIT GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
FACILITY CUSTOMER"
ASPEN INSURANCE UK LIMITED,00309005,00270895,00270895,"BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
LINE OF CREDIT GUARANTEE
LINE OF CREDIT GUARANTEE","RE-INSURER ECA
PARIS CLUB PAYEE
PARIS CLUB PAYEE
RE-INSURER ECA"
ATLAS AIR INC,00314228,00265028,00265028,BUYER CREDIT GUARANTEE,FACILITY CUSTOMER
ATLAS AIR WORLDWIDE HOLDINGS,00300018,00271937,00271937,BUYER CREDIT GUARANTEE,Ultimate Obligor
AVENTIS PHARMA LIMITED,00306529,00000874,00000874,"PARIS CLUB OD TRANCHE
BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AVIA SOLUTIONS GROUP,00318798,00286157,00286157,"BUYER CREDIT GUARANTEE
ASSET BASED GUARANTEE","Ultimate Obligor
Ultimate Obligor"
BA HOLDING A.G.,00313747,00000341,00000341,BUYER CREDIT GUARANTEE,SYNDICATE LENDER
BABCOCK MARINE SHIPBUILDING LIMITED,00326560,00295101,00295101,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
BAE SYSTEMS (MILITARY AIRCRAFT) LIMITED,00310413,00004348,00004348,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
BAE SYSTEMS PLC,00303383,00004343,00004343,"BUYER CREDIT GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
PARIS CLUB CI TRANCHE
LINE OF CREDIT GUARANTEE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
UNINSURED AMOUNT
PARIS CLUB PAYEE
EXPORTER/OII INVESTOR
PARIS CLUB PAYEE"
BAHRAIN PETROLEUM COMPANY (BAPCO),00312321,00001189,00001189,"DL LOAN (ENHANCED)
BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
DL LOAN (ENHANCED)","Ultimate Obligor
Ultimate Obligor
FACILITY CUSTOMER
FACILITY CUSTOMER"
BAKER HUGHES A GE COMPANY,00306620,00274976,00274976,"LINE OF CREDIT GUARANTEE
BUYER CREDIT GUARANTEE","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR"
BALFOUR BEATTY PLC,00300166,00004281,00004281,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
BALFOUR BEATTY POWER CONSTRUCTION LTD,00303218,00004287,00004287,"BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
BALFOUR KILPATRICK LIMITED,00302002,00004310,00004310,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
BALFOUR WILLIAMSON & CO LTD.,00300123,00004576,00004576,"PARIS CLUB CI TRANCHE
BUYER CREDIT GUARANTEE","PARIS CLUB PAYEE
EXPORTER/OII INVESTOR"
BANK FOR FOREIGN ECONOMIC AFFAIRS OF THE USSR,NULL,00000710,00000710,"BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
BANK OF GHANA,00312330,00003595,00003595,BUYER CREDIT GUARANTEE,Ultimate Obligor
BANK SEPAH INTERNATIONAL PLC,00307208,00001439,00001439,BUYER CREDIT GUARANTEE,SYNDICATE LENDER
BANKERS TRUST INTERNATIONAL PLC,00307458,00003699,00003699,BUYER CREDIT GUARANTEE,SYNDICATE LENDER
BANKINTER S.A.,00317651,00278774,00278774,"ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE","SYNDICATE LENDER
SYNDICATE LENDER"
BARCLAYS BANK PLC,00300130,00005672,00005672,"ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE
ASSET BASED GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","LEAD/AGENT BANK
SYNDICATE LENDER
SYNDICATE LENDER
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
BARCLAYS BANK PLC,00300130,00005675,00005675,"BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
BUYER CREDIT GUARANTEE
LINE OF CREDIT GUARANTEE
PARIS CLUB OD TRANCHE","LEAD/AGENT BANK
PARIS CLUB PAYEE
SYNDICATE LENDER
LEAD/AGENT BANK
PARIS CLUB PAYEE"
