customer_name,customer_party_unique_reference_number,customer_code,ods_key,customer_facility_types,customer_facility_party_role_types
A. KELLER & SONS (HOLDINGS) LIMITED,00300269,00003344,00003344,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ABC INTERNATIONAL BANK PLC,00313709,00003761,00003761,"PARIS CLUB FD TRANCHE
BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
SUPPLIER CREDIT FINANCE GUARANTEE","PARIS CLUB PAYEE
SOLE LENDER
SYNDICATE LENDER
LEAD/AGENT BANK"
ABMTM LIMITED,00301114,00000431,00000431,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ACLAND LIMITED,00312588,00003356,00003356,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ADVANTA RESEARCH LIMITED,00309359,00003358,00003358,PARIS CLUB CI TRANCHE,PARIS CLUB PAYEE
AGA FOODSERVICE GROUP PLC,00303847,00003363,00003363,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AGCO LIMITED,00303918,00003854,00003854,"SUPPLIER CREDIT FINANCE GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AIRBUS UK LIMITED,00312733,00002134,00002134,"ASSET BASED GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AIRFLOW DEVELOPMENTS LIMITED,00302295,00003364,00003364,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ALAN MAYER EXPORT LIMITED,00303359,00003080,00003080,PARIS CLUB CI TRANCHE,PARIS CLUB PAYEE
ALCATEL-LUCENT SUBMARINE NETWORKS LTD,00300421,00003965,00003965,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ALFA LAVAL PUMPS LTD,00302253,00003370,00003370,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ALSTOM CONTROLS LIMITED,00304853,00004443,00004443,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ALVAN BLANCH DEVELOPMENT COMPANY LIMITED,00302336,00003713,00003713,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AMEC SPARECO (9) LIMITED,00303937,00004252,00004252,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
AMS PROJECT SERVICES LIMITED,00308731,00004583,00004583,"PARIS CLUB OD TRANCHE
PARIS CLUB CI TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ANDREW & SUTER LIMITED,00302421,00003461,00003461,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
ANGLO GREAT LAKES CORPORATION PUBLIC LIMITED COMPANY,00301620,00002966,00002966,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
APAX AUTOPARTS INTERNATIONAL LIMITED,00301813,00002979,00002979,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
